"name","description","homepage_url","category","source","created_at","updated_at","trending"
"HubSpot Marketing AI","AI-powered marketing automation and content generation platform","https://www.hubspot.com/products/marketing/artificial-intelligence","Marketing","HubSpot","2023-01-15","2024-10-01","High"
"Jasper.ai","AI content creation platform for marketing copy and campaigns","https://www.jasper.ai/","Marketing","Jasper","2021-02-01","2024-09-15","High"
"Copy.ai","AI-powered copywriting assistant for marketing content","https://www.copy.ai/","Marketing","Copy.ai","2020-10-01","2024-10-10","Medium"
"MarketMuse","AI content planning and optimization for SEO and marketing","https://www.marketmuse.com/","Marketing","MarketMuse","2018-05-01","2024-08-20","Medium"
"Persado","AI language generation for marketing messaging optimization","https://www.persado.com/","Marketing","Persado","2012-03-01","2024-07-30","Low"
"Lately.ai","AI social media content creation and scheduling","https://www.lately.ai/","Marketing","Lately","2019-08-01","2024-09-05","Medium"
"Sixth Sense","AI-powered account-based marketing platform","https://6sense.com/","Marketing","6sense","2013-01-01","2024-08-15","High"
"Drift","Conversational AI for marketing and sales automation","https://www.drift.com/","Marketing","Drift","2015-09-01","2024-09-20","Medium"
"Optimizely","AI-driven experimentation and personalization platform","https://www.optimizely.com/","Marketing","Optimizely","2009-10-01","2024-08-10","Medium"
"Unbounce","AI landing page builder and conversion optimization","https://unbounce.com/","Marketing","Unbounce","2009-07-01","2024-09-01","Low"
"Brandwatch","AI social media monitoring and consumer intelligence","https://www.brandwatch.com/","Marketing","Brandwatch","2007-01-01","2024-08-25","Medium"
"Mailchimp Freddie","AI email marketing assistant and automation","https://mailchimp.com/features/ai/","Marketing","Mailchimp","2020-03-01","2024-09-10","Medium"
"Zest AI","AI credit risk assessment and underwriting platform","https://zest.ai/","Finance","Zest AI","2009-01-01","2024-09-15","High"
"Kasisto","Conversational AI for banking and financial services","https://kasisto.com/","Finance","Kasisto","2013-05-01","2024-08-20","Medium"
"Personetics","AI customer engagement platform for banking","https://personetics.com/","Finance","Personetics","2011-01-01","2024-07-30","Medium"
"Kensho","AI analytics for financial markets and research","https://www.kensho.com/","Finance","Kensho","2013-07-01","2024-08-10","High"
"AlphaSense","AI-powered financial research and market intelligence","https://www.alpha-sense.com/","Finance","AlphaSense","2011-10-01","2024-09-05","High"
"Darktrace","AI cybersecurity for financial institutions","https://darktrace.com/","Finance","Darktrace","2013-01-01","2024-09-01","High"
"Ayasdi","AI risk management and regulatory compliance","https://www.ayasdi.com/","Finance","Ayasdi","2008-01-01","2024-06-15","Low"
"Quantexa","AI decision intelligence for financial crime prevention","https://www.quantexa.com/","Finance","Quantexa","2016-01-01","2024-08-25","Medium"
"DataSnipper","AI document analysis for financial auditing","https://www.datasnipper.com/","Finance","DataSnipper","2017-01-01","2024-09-10","Medium"
"Upstart","AI lending platform for personal loans","https://www.upstart.com/","Finance","Upstart","2012-04-01","2024-08-30","High"
"Scienaptic","AI credit decisioning platform","https://www.scienaptic.ai/","Finance","Scienaptic","2016-01-01","2024-07-20","Low"
"H2O.ai","AI platform for financial modeling and risk assessment","https://h2o.ai/","Finance","H2O.ai","2012-01-01","2024-09-20","Medium"
"Khan Academy Khanmigo","AI tutoring assistant for personalized learning","https://www.khanacademy.org/khan-labs","Education","Khan Academy","2023-03-01","2024-09-15","High"
"Squirrel AI","AI adaptive learning platform for K-12 education","https://squirrelai.com/","Education","Squirrel AI","2014-01-01","2024-08-10","Medium"
"Carnegie Learning","AI math tutoring and learning platform","https://www.carnegielearning.com/","Education","Carnegie Learning","1998-01-01","2024-09-01","Medium"
"Gradescope","AI grading and feedback system for educators","https://www.gradescope.com/","Education","Gradescope","2014-01-01","2024-08-20","Medium"
"Cognii","AI virtual learning assistant for educational institutions","https://www.cognii.com/","Education","Cognii","2010-01-01","2024-07-15","Low"
"Coursera Coach","AI learning companion for online courses","https://www.coursera.org/","Education","Coursera","2022-01-01","2024-09-10","High"
"Century Tech","AI personalized learning platform for schools","https://www.century.tech/","Education","Century Tech","2013-01-01","2024-08-05","Medium"
"Thinkster Math","AI math tutoring with human oversight","https://hellothinkster.com/","Education","Thinkster","2010-01-01","2024-07-25","Low"
"Socratic by Google","AI homework help and learning assistant","https://socratic.org/","Education","Google","2013-01-01","2024-08-15","High"
"Duolingo","AI language learning with personalized lessons","https://www.duolingo.com/","Education","Duolingo","2011-01-01","2024-09-20","High"
"Querium","AI STEM tutoring platform","https://www.querium.com/","Education","Querium","2013-01-01","2024-06-30","Low"
"Pearson AI","AI educational content and assessment platform","https://www.pearson.com/","Education","Pearson","2020-01-01","2024-08-25","Medium"
"Babylon Health","AI symptom checker and healthcare assistant","https://www.babylonhealth.com/","Healthcare","Babylon","2013-01-01","2024-08-15","Medium"
"Ada Health","AI symptom assessment and health guidance","https://ada.com/","Healthcare","Ada","2011-01-01","2024-09-10","High"
"Zebra Medical Vision","AI medical imaging analysis platform","https://www.zebra-med.com/","Healthcare","Zebra Medical","2014-01-01","2024-07-20","Medium"
"Tempus","AI precision medicine and cancer care platform","https://www.tempus.com/","Healthcare","Tempus","2015-01-01","2024-09-05","High"
"PathAI","AI pathology diagnosis and drug discovery","https://www.pathai.com/","Healthcare","PathAI","2016-01-01","2024-08-30","High"
"Veracyte","AI genomic diagnostics for cancer detection","https://www.veracyte.com/","Healthcare","Veracyte","2008-01-01","2024-07-10","Medium"
"Nuance Dragon Medical","AI medical documentation and voice recognition","https://www.nuance.com/healthcare.html","Healthcare","Nuance","2005-01-01","2024-08-20","Medium"
"Arterys","AI medical imaging analysis for cardiology","https://www.arterys.com/","Healthcare","Arterys","2011-01-01","2024-06-25","Low"
"Butterfly Network","AI ultrasound imaging and diagnostics","https://www.butterflynetwork.com/","Healthcare","Butterfly","2011-01-01","2024-09-01","High"
"Mindstrong","AI mental health monitoring and intervention","https://mindstrong.com/","Healthcare","Mindstrong","2014-01-01","2024-07-15","Low"
"Flatiron Health","AI oncology data platform for cancer research","https://flatiron.com/","Healthcare","Flatiron","2012-01-01","2024-08-10","Medium"
"Olive AI","AI healthcare automation and workflow optimization","https://oliveai.com/","Healthcare","Olive","2012-01-01","2024-09-15","Medium"
"Notion AI","AI writing assistant and productivity enhancement","https://www.notion.so/product/ai","Productivity","Notion","2023-02-01","2024-09-20","High"
"Grammarly","AI writing assistance and grammar checking","https://www.grammarly.com/","Productivity","Grammarly","2009-01-01","2024-10-01","High"
"Todoist","AI task management and productivity planning","https://todoist.com/","Productivity","Todoist","2007-01-01","2024-09-10","Medium"
"Motion","AI calendar and task scheduling assistant","https://www.usemotion.com/","Productivity","Motion","2019-01-01","2024-08-25","High"
"Otter.ai","AI meeting transcription and note-taking","https://otter.ai/","Productivity","Otter.ai","2016-01-01","2024-09-15","High"
"Zapier","AI workflow automation and app integration","https://zapier.com/","Productivity","Zapier","2011-01-01","2024-09-05","High"
"Calendly","AI meeting scheduling and coordination","https://calendly.com/","Productivity","Calendly","2013-01-01","2024-08-30","Medium"
"RescueTime","AI time tracking and productivity analytics","https://www.rescuetime.com/","Productivity","RescueTime","2008-01-01","2024-07-20","Low"
"Clara","AI email management and scheduling assistant","https://claralabs.com/","Productivity","Clara Labs","2014-01-01","2024-06-15","Low"
"x.ai","AI meeting scheduling assistant","https://x.ai/","Productivity","x.ai","2014-01-01","2024-07-10","Low"
"Superhuman","AI email client with productivity features","https://superhuman.com/","Productivity","Superhuman","2017-01-01","2024-09-01","High"
"Brain.fm","AI-generated music for focus and productivity","https://www.brain.fm/","Productivity","Brain.fm","2011-01-01","2024-08-15","Medium"
"OpenAI GPT-4","Advanced AI language model for various applications","https://openai.com/gpt-4","Others","OpenAI","2023-03-01","2024-09-20","High"
"Anthropic Claude","AI assistant for analysis and conversation","https://www.anthropic.com/claude","Others","Anthropic","2022-03-01","2024-10-01","High"
"Midjourney","AI image generation and artistic creation","https://www.midjourney.com/","Others","Midjourney","2022-07-01","2024-09-15","High"
"Stable Diffusion","Open-source AI image generation platform","https://stability.ai/","Others","Stability AI","2022-08-01","2024-08-25","High"
"Runway ML","AI video and image editing platform","https://runwayml.com/","Others","Runway","2018-01-01","2024-09-10","High"
"Replika","AI companion and conversational agent","https://replika.ai/","Others","Replika","2017-01-01","2024-08-05","Medium"
"Character.AI","AI chatbot platform with personality creation","https://character.ai/","Others","Character.AI","2022-09-01","2024-09-01","High"
"Eleven Labs","AI voice synthesis and cloning platform","https://elevenlabs.io/","Others","Eleven Labs","2022-01-01","2024-08-20","High"
"Murf AI","AI voice generation for content creation","https://murf.ai/","Others","Murf","2020-01-01","2024-07-30","Medium"
"Synthesia","AI video creation with synthetic avatars","https://www.synthesia.io/","Others","Synthesia","2017-01-01","2024-08-15","High"
"DeepL","AI translation and language processing","https://www.deepl.com/","Others","DeepL","2017-01-01","2024-09-05","Medium"
"GitHub Copilot","AI code completion and programming assistant","https://github.com/features/copilot","Others","GitHub","2021-06-01","2024-09-25","High"